year,Global,NHem,SHem,Tropics,Pacific,Atlantic,Indian
1981,18.029511791169025,15.52987157943545,16.083427711257176,24.703262937720375,20.528222257011542,18.374962231296696,26.698618366079128
1982,18.030472032187916,15.437952949075479,16.00634062167532,24.464784110993744,20.574483764532765,18.304284117989695,26.7246941722992
1983,18.101853495029975,15.523977197882223,16.121264464015322,24.635955044136786,20.598630175585843,18.402997072819947,26.936795194660657
1984,18.007017668855486,15.73521731097809,16.4297498786354,25.243106260771366,20.49229982988735,18.40603698932484,26.576725520270287
1985,17.984514214200388,15.700858164809754,16.314772817069368,24.903008772007222,20.431885425313652,18.35122468092785,26.649657501229875
1986,18.027850114180357,15.554351732841138,16.391415044409648,24.98682554623354,20.542144716131908,18.359576705081484,26.644834178066606
1987,18.164938233992245,15.880226381110205,16.420604947186913,25.063903514170683,20.61871717495147,18.56048551959159,27.027507588242575
1988,18.116423201029292,15.922886900092562,16.404410562304815,25.255033948296717,20.525152009260406,18.54483746682273,27.08648244783756
1989,18.05917960370604,15.806502859234927,16.314012611996553,24.97477592583095,20.523775925484973,18.52636465817666,26.69963708859147
1990,18.14157097971387,15.94103804686515,16.338793829833442,24.85349412577739,20.646386357273155,18.52448073038616,26.82836509782452
1991,18.126438444845576,15.785636068893085,16.26807906745135,24.84137263759354,20.661258080092555,18.3819037257441,26.86143182774248
1992,18.05668368353191,15.631432223704511,15.829799645974282,24.390388244959798,20.606900735964746,18.257977558664518,26.73115680022801
1993,18.064799058802816,15.654810963929844,16.374019690956146,25.021732194641526,20.553217604939196,18.432078355768542,26.69437957526345
1994,18.094036441382908,15.816812901025484,16.184440197897295,24.81637550387334,20.63275604728397,18.401046067165584,26.71183828309803
1995,18.131942616285293,15.861121363554021,16.281539740563417,25.145035731041073,20.625105368452395,18.560756898436633,26.800853707256003
1996,18.113109786287847,15.670619130944862,16.209812179129532,24.969253393585245,20.637639222074355,18.476670197475823,26.73116515232965
1997,18.26408494397428,15.810277614812335,15.977692126167499,24.642511156653416,20.86393330050635,18.51319280171057,26.870413744467406
1998,18.308882699070786,16.154042535006706,16.335200707941784,25.16644387604471,20.77320546809606,18.740438122619622,27.198222847205805
1999,18.117512630524047,16.00888446351508,16.345959537469877,25.071285735349537,20.52806407166799,18.646703925824493,26.847966590452362
2000,18.143169855209013,15.918810783158422,16.268917573929485,24.93522648512718,20.594507455799793,18.60843866626495,26.839119811989328
